date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2023-05-03,8456.36328125,ACCUMULATION,0.67,low,-0.123,CONTRACTING_RANGE,53.83,0.0,-0.313,-0.057,0.84,-1.98,FALLING,CONTRACTION,low,1.0,"DOJI,HAMMER",,0.0,0.0,
2023-05-08,8724.5029296875,ACCUMULATION,1.0,low,0.337,CONTRACTING_RANGE,91.46,0.0,0.915,0.097,3.94,-1.99,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2023-05-11,8901.99609375,ACCUMULATION,1.0,low,0.4,CONTRACTING_RANGE,98.93,0.0,0.989,0.211,5.95,-1.74,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2023-05-16,8719.791015625,ACCUMULATION,1.0,low,0.231,CONTRACTING_RANGE,99.87,0.0,0.581,0.112,3.69,-1.46,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2023-05-19,8753.0517578125,ACCUMULATION,1.0,low,0.216,CONTRACTING_RANGE,99.98,0.0,0.51,0.138,4.0,-1.23,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2023-05-24,8911.46484375,EXPANSION,1.0,low,0.248,CONTRACTING_RANGE,100.0,0.0,0.501,0.242,5.78,-0.94,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2023-05-29,8971.783203125,EXPANSION,1.0,low,0.266,CONTRACTING_RANGE,100.0,0.0,0.5,0.299,6.44,-0.46,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2023-06-01,8966.7841796875,EXPANSION,1.0,low,0.273,CONTRACTING_RANGE,100.0,0.0,0.5,0.319,6.3,0.07,RISING,EXPANSION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2023-06-06,9358.876953125,EXPANSION,1.0,low,0.361,CONTRACTING_RANGE,100.0,0.0,0.5,0.582,10.8,0.85,RISING,EXPANSION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,-0.6,45
2023-06-09,9254.6767578125,EXPANSION,1.0,low,0.352,CONTRACTING_RANGE,100.0,0.0,0.5,0.555,9.43,1.68,RISING,EXPANSION,low,0.0,,,0.0,-0.6,45
2023-06-14,9163.0693359375,EXPANSION,0.33,medium,-0.115,CONTRACTING_RANGE,12.5,0.0,-0.875,0.53,8.2,2.4,FALLING,DISTRIBUTION,medium,0.0,,,0.0,-0.6,49
2023-06-19,9162.58984375,EXPANSION,0.33,medium,-0.143,CONTRACTING_RANGE,1.56,0.0,-0.984,0.554,8.03,3.04,FALLING,DISTRIBUTION,medium,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2023-06-22,9038.63671875,EXPANSION,0.67,high,0.294,HIGHER_HIGHS_HIGHER_LOWS,0.2,1.0,-0.619,0.502,6.49,3.55,FALLING,DISTRIBUTION,high,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2023-06-27,9094.3408203125,EXPANSION,0.67,medium,0.346,HIGHER_HIGHS_HIGHER_LOWS,0.02,1.0,-0.515,0.552,7.05,3.99,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
