date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2021-11-26,663.7907104492188,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,8.52,20.86,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2021-12-01,686.3800659179688,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,11.82,20.02,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2021-12-06,677.9010620117188,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,10.02,18.98,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2021-12-09,725.5421752929688,DISTRIBUTION,1.0,low,0.583,CONTRACTING_RANGE,75.0,0.0,0.75,1.0,17.3,18.03,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-12-14,689.0325317382812,DISTRIBUTION,1.0,low,0.99,HIGHER_HIGHS_HIGHER_LOWS,96.88,1.0,0.969,1.0,10.96,17.25,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-12-17,672.9619140625,DISTRIBUTION,0.67,high,0.46,HIGHER_HIGHS_HIGHER_LOWS,38.07,1.0,-0.619,1.0,7.99,16.17,FALLING,DISTRIBUTION,high,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-12-22,660.294677734375,DISTRIBUTION,0.67,high,0.02,EXPANDING_RANGE_VOLATILE,5.86,0.0,-0.941,1.0,5.63,14.8,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-12-27,671.95263671875,DISTRIBUTION,0.67,medium,-0.316,LOWER_HIGHS_LOWER_LOWS,0.73,-1.0,-0.947,1.0,7.14,13.5,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2021-12-30,670.0364990234375,DISTRIBUTION,0.67,low,0.196,CONTRACTING_RANGE,7.03,0.0,-0.348,0.935,6.46,12.24,RISING,DISTRIBUTION,low,0.0,,,0.0,0.0,
2022-01-04,716.053955078125,DISTRIBUTION,1.0,low,0.628,CONTRACTING_RANGE,88.38,0.0,0.884,1.0,13.33,11.29,RISING,EXPANSION,low,0.0,,,0.0,0.0,
