date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2021-06-16,613.921142578125,EXPANSION,0.67,high,0.46,HIGHER_HIGHS_HIGHER_LOWS,0.2,1.0,-0.619,1.0,21.49,16.11,FALLING,DISTRIBUTION,high,1.0,"DOJI,MORNING_STAR",,0.0,0.0,
2021-06-21,605.4329833984375,EXPANSION,0.67,medium,0.162,CONTRACTING_RANGE,0.02,0.0,-0.515,1.0,19.02,16.02,FALLING,DISTRIBUTION,medium,1.0,"DOJI,MORNING_STAR",,0.0,0.0,
2021-06-24,608.1185913085938,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.502,1.0,18.74,16.01,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.0,
2021-06-29,613.921142578125,DISTRIBUTION,0.67,low,0.244,LOWER_HIGHS_LOWER_LOWS,73.14,-1.0,0.731,1.0,18.96,16.01,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-07-02,614.0650024414062,DISTRIBUTION,0.67,low,0.024,LOWER_HIGHS_LOWER_LOWS,25.72,-1.0,0.071,1.0,18.11,15.92,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-07-07,627.2526245117188,DISTRIBUTION,0.67,low,0.281,LOWER_HIGHS_LOWER_LOWS,84.34,-1.0,0.843,1.0,19.72,15.73,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-07-12,619.819580078125,DISTRIBUTION,0.67,low,0.028,LOWER_HIGHS_LOWER_LOWS,44.4,-1.0,0.085,1.0,17.4,15.15,RISING,EXPANSION,low,1.0,DOJI,,0.0,0.0,
2021-07-15,640.152587890625,EXPANSION,0.67,low,0.168,LOWER_HIGHS_LOWER_LOWS,93.05,-1.0,0.503,1.0,20.21,14.9,RISING,EXPANSION,low,1.0,DOJI,,0.0,0.0,
2021-07-20,615.6475830078125,EXPANSION,1.0,low,0.59,EXPANDING_RANGE_VOLATILE,90.43,0.0,0.769,1.0,14.69,14.45,RISING,EXPANSION,low,0.0,,SHARK,-0.8,0.0,
2021-07-26,649.0722045898438,EXPANSION,1.0,low,0.771,HIGHER_HIGHS_HIGHER_LOWS,91.4,1.0,0.312,1.0,19.94,14.26,FALLING,EXPANSION,low,0.0,,,0.0,0.0,
